安								
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	2006	2007	2008	2009	2010	2011	2012	2013
								
open	0.250***	0.272***	0.280**	0.402**	0.361**	0.437***	0.455***	0.598***
	(0.0792)	(0.0519)	(0.126)	(0.176)	(0.176)	(0.149)	(0.157)	(0.189)
lngdppc	-0.0989***	-0.0661***	-0.133***	-0.162***	-0.195***	-0.197***	-0.205***	-0.200***
	(0.00728)	(0.00459)	(0.0124)	(0.0134)	(0.0154)	(0.0130)	(0.0135)	(0.0175)
lnpop	-0.0428***	-0.0182***	-0.0509***	-0.0631***	-0.0804***	-0.0707***	-0.0677***	-0.0639***
	(0.00589)	(0.00342)	(0.00985)	(0.0106)	(0.0117)	(0.00989)	(0.0102)	(0.0126)
anr	-0.0576	0.0421***	0.0629	0.109	0.0693	0.123	-0.0718	-0.0631
	(0.0441)	(0.0120)	(0.0855)	(0.118)	(0.110)	(0.0829)	(0.0682)	(0.0943)
Constant	1.401***	0.888***	1.732***	2.129***	2.588***	2.585***	2.903***	2.834***
	(0.0823)	(0.0532)	(0.158)	(0.189)	(0.199)	(0.169)	(0.165)	(0.212)
								
Observations	307	182	299	302	311	309	307	312
R-squared	0.619	0.721	0.535	0.579	0.579	0.651	0.648	0.638
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
