安							
	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	2007	2008	2009	2010	2011	2012	2013
							
open	0.238***	0.212***	0.375**	0.327**	0.417**	0.451***	0.670***
	(0.0538)	(0.0755)	(0.173)	(0.157)	(0.177)	(0.155)	(0.197)
lngdppc	-0.0578***	-0.104***	-0.139***	-0.182***	-0.197***	-0.196***	-0.198***
	(0.00475)	(0.00743)	(0.0132)	(0.0137)	(0.0155)	(0.0133)	(0.0181)
lnpop	-0.0189***	-0.0422***	-0.0524***	-0.0704***	-0.0775***	-0.0686***	-0.0566***
	(0.00355)	(0.00591)	(0.0104)	(0.0105)	(0.0117)	(0.0101)	(0.0131)
anr	0.104***	0.0771	0.0545	0.0796	0.131	-0.116*	0.152
	(0.0129)	(0.0513)	(0.0859)	(0.0978)	(0.0985)	(0.0674)	(0.112)
Constant	0.755***	1.376***	1.808***	2.413***	2.601***	2.839***	2.589***
	(0.0561)	(0.0949)	(0.170)	(0.177)	(0.201)	(0.163)	(0.237)
							
Observations	183	297	303	310	309	308	311
R-squared	0.685	0.623	0.533	0.601	0.570	0.641	0.635
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
